symbol,name,sector,exchange,region,universe
BBAR,BBVA Argentina SA,Financials,NYSE,Argentina,GLOBAL_ADR
PAM,Pampa Energia SA,Utilities,NYSE,Argentina,GLOBAL_ADR
LOMA,Loma Negra Cia Ind,Materials,NYSE,Argentina,GLOBAL_ADR
EDN,Edenor SA,Utilities,NYSE,Argentina,GLOBAL_ADR
CEPU,Central Puerto SA,Utilities,NYSE,Argentina,GLOBAL_ADR
SUPV,Grupo Supervielle SA,Financials,NYSE,Argentina,GLOBAL_ADR
BIOX,Bioceres Crop Solutions,Materials,NASDAQ,Argentina,GLOBAL_ADR
ARGT,Global X MSCI Argentina ETF,Broad Market,NYSE,Argentina,ETF
TV,Grupo Televisa SAB,Communication Services,NYSE,Mexico,GLOBAL_ADR
WMMVY,Walmart de Mexico SAB,Consumer Staples,OTC,Mexico,GLOBAL_ADR
GBOOY,Grupo Financiero Banorte,Financials,OTC,Mexico,GLOBAL_ADR
KCDMF,Kimberly-Clark de Mexico,Consumer Staples,OTC,Mexico,GLOBAL_ADR
EMBVF,Arca Continental SAB,Consumer Staples,OTC,Mexico,GLOBAL_ADR
WEGZY,WEG SA,Industrials,OTC,Brazil,GLOBAL_ADR
BAK,Braskem SA,Materials,NYSE,Brazil,GLOBAL_ADR
BDORY,Banco do Brasil SA,Financials,OTC,Brazil,GLOBAL_ADR
BBD,Banco Bradesco SA,Financials,NYSE,Brazil,GLOBAL_ADR
KSA,iShares MSCI Saudi Arabia ETF,Broad Market,NYSE,Saudi Arabia,ETF
PROSY,Prosus NV,Consumer Discretionary,OTC,South Africa,GLOBAL_ADR
SLLDY,Sanlam Ltd,Financials,OTC,South Africa,GLOBAL_ADR
VDMCY,Vodacom Group Ltd,Communication Services,OTC,South Africa,GLOBAL_ADR
NDBKY,Nedbank Group Ltd,Financials,OTC,South Africa,GLOBAL_ADR
WLWHY,Woolworths Holdings Ltd,Consumer Discretionary,OTC,South Africa,GLOBAL_ADR
GDX,VanEck Gold Miners ETF,Materials,NYSE,US,ETF
GDXJ,VanEck Junior Gold Miners ETF,Materials,NYSE,US,ETF
DBC,Invesco DB Commodity Index Fund,Commodities,NYSE,US,ETF
DBA,Invesco DB Agriculture Fund,Commodities,NYSE,US,ETF
UNG,United States Natural Gas Fund,Commodities,NYSE,US,ETF
COPX,Global X Copper Miners ETF,Materials,NYSE,US,ETF
SIL,Global X Silver Miners ETF,Materials,NYSE,US,ETF
PPLT,Aberdeen Physical Platinum ETF,Commodities,NYSE,US,ETF
PDBC,Invesco Optimum Yield Diversified Commodity,Commodities,NASDAQ,US,ETF
BNO,United States Brent Oil Fund,Commodities,NYSE,US,ETF
CORN,Teucrium Corn Fund,Commodities,NYSE,US,ETF
WEAT,Teucrium Wheat Fund,Commodities,NYSE,US,ETF
CPER,United States Copper Index Fund,Commodities,NYSE,US,ETF
REMX,VanEck Rare Earth & Critical Metals ETF,Materials,NYSE,US,ETF
DBB,Invesco DB Base Metals Fund,Commodities,NYSE,US,ETF
RING,iShares MSCI Global Gold Miners ETF,Materials,NYSE,US,ETF
PALL,Aberdeen Physical Palladium ETF,Commodities,NYSE,US,ETF
OIH,VanEck Oil Services ETF,Commodities,NYSE,US,ETF
XES,SPDR S&P Oil & Gas Equipment & Services ETF,Commodities,NYSE,US,ETF
IEZ,iShares U.S. Oil Equipment & Services ETF,Commodities,NYSE,US,ETF
PXJ,Invesco Dynamic Oil & Gas Services ETF,Commodities,NYSE,US,ETF
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Energy,NYSE,US,ETF
AMLP,Alerian MLP ETF,Energy,NYSE,US,ETF
TAN,Invesco Solar ETF,Clean Energy,NYSE,US,ETF
ICLN,iShares Global Clean Energy ETF,Clean Energy,NYSE,US,ETF
LIT,Global X Lithium & Battery Tech ETF,Clean Energy,NYSE,US,ETF
EWH,iShares MSCI Hong Kong ETF,Broad Market,NYSE,US,ETF
EWS,iShares MSCI Singapore ETF,Broad Market,NYSE,US,ETF
EWL,iShares MSCI Switzerland ETF,Broad Market,NYSE,US,ETF
EWD,iShares MSCI Sweden ETF,Broad Market,NYSE,US,ETF
EWN,iShares MSCI Netherlands ETF,Broad Market,NYSE,US,ETF
ECH,iShares MSCI Chile ETF,Broad Market,NYSE,US,ETF
EPU,iShares MSCI Peru ETF,Broad Market,NYSE,US,ETF
GXG,Global X MSCI Colombia ETF,Broad Market,NYSE,US,ETF
TLT,iShares 20+ Year Treasury Bond ETF,Fixed Income,NYSE,US,ETF
AGG,iShares Core US Aggregate Bond ETF,Fixed Income,NYSE,US,ETF
HYG,iShares iBoxx High Yield Corporate Bond ETF,Fixed Income,NYSE,US,ETF
LQD,iShares iBoxx Investment Grade Corporate Bond ETF,Fixed Income,NYSE,US,ETF
EMB,iShares JP Morgan USD Emerging Markets Bond ETF,Fixed Income,NYSE,US,ETF
KRE,SPDR S&P Regional Banking ETF,Financials,NYSE,US,ETF
KBE,SPDR S&P Bank ETF,Financials,NYSE,US,ETF
DRIV,Global X Autonomous & Electric Vehicles ETF,Technology,NYSE,US,ETF
IDRV,iShares Self-Driving EV and Tech ETF,Technology,NYSE,US,ETF
CIBR,First Trust NASDAQ Cybersecurity ETF,Technology,NYSE,US,ETF
BUG,Global X Cybersecurity ETF,Technology,NYSE,US,ETF
